
Vnominal = 13.8
BusSE    = 0

          
         Bus            PD        QD           QC  
        143         74.0010    31.3700       0.0000
        144        232.0500    98.3690       0.0000
        145        141.8190    60.1190       0.0000
        146          0.0000     0.0000       0.0000
        147         76.4490    32.4080       0.0000
        148          0.0000     0.0000       0.0000
        149         51.3220    21.7560       0.0000
        150         59.8740    25.3810       0.0000
        152          9.0650     3.8430       0.0000
        153          2.0920     0.8870       0.0000
        154         16.7350     7.0940       0.0000
        155       1506.5220   638.6340       0.0000
        156        313.0230   132.6940       0.0000
        157         79.8310    33.8420       0.0000
        158         51.3220    21.7560       0.0000
        159          0.0000     0.0000       0.0000
        160        202.4350    85.8150       0.0000
        162         60.8230    25.7840       0.0000
        163         45.6180    19.3380       0.0000
        164          0.0000     0.0000       0.0000
        200        157.0700    66.5840       0.0000
        201          0.0000     0.0000       0.0000
        202        250.1480   106.0410       0.0000
        203          0.0000     0.0000       0.0000
        204         69.8090    29.5930       0.0000
        205         32.0720    13.5960       0.0000
        206         61.0840    25.8940       0.0000
        207          0.0000     0.0000       0.0000
        208         94.6220    46.2600       0.0000
        209         49.8580    24.3750       0.0000
        210        123.1640    60.2140       0.0000
        211         78.3500    38.3040       0.0000
        212        145.4750    71.1210       0.0000
        214         21.3690    10.4470       0.0000
        215         74.7890    36.5640       0.0000
        217        227.9260   111.4310       0.0000
        218         35.6140    17.4110       0.0000
        219        249.2950   121.8770       0.0000
        220        316.7220   154.8420       0.0000
        221        333.8170   163.1990       0.0000
        222        249.2950   121.8770       0.0000
        223          0.0000     0.0000       0.0000


             Send       Recv    line         R          X        
               0          1       1      0.33205    0.76653
               1          2       2      0.00188    0.00433
               2          3       3      0.22324    0.51535
               3          4       4      0.09943    0.22953
               4          5       5      0.15571    0.35945
               5          6       6      0.16321    0.37677
               6          7       7      0.11444    0.26417
               6          9       8      0.05675    0.05666
               9         10       9      0.52124    0.27418
               9         12      10      0.10877    0.10860
              12         13      11      0.39803    0.20937
              12         15      12      0.91744    0.31469
              12         17      13      0.11823    0.11805
              17         18      14      0.50228    0.26421
              17         20      15      0.05675    0.05666
              20         21      16      0.29379    0.15454
               0         24      17      0.33205    0.76653
              24         25      18      0.00188    0.00433
              25         26      19      0.22324    0.51535
              26         27      20      0.10881    0.25118
              27         28      21      0.71078    0.37388
              27         29      22      0.18197    0.42008
              29         30      23      0.30326    0.15952
              29         32      24      0.02439    0.05630
              32         33      25      0.04502    0.10394
              33         34      26      0.01876    0.04331
              34         35      27      0.11823    0.11805
              35         36      28      0.02365    0.02361
              36         37      29      0.18954    0.09970
              37         38      30      0.39803    0.20937
              36         39      31      0.05675    0.05666
              39         40      32      0.09477    0.04985
              40         41      33      0.41699    0.21934
              41         42      34      0.11372    0.05982
              39         43      35      0.07566    0.07555
              43         44      36      0.36960    0.19442
              44         45      37      0.26536    0.13958
              43         46      38      0.05675    0.05666
               0         48      39      0.33205    0.76653
              48         49      40      0.11819    0.27283
              49         50      41      2.96288    1.01628
              49         51      42      0.00188    0.00433
              51         52      43      0.06941    0.16024
              52         53      44      0.81502    0.42872
              52         54      45      0.06378    0.14724
              54         55      46      0.13132    0.30315
              55         56      47      0.06191    0.14291
              56         57      48      0.11444    0.26417
              57         58      49      0.28374    0.28331
              58         59      50      0.28374    0.28331
              57         61      51      0.04502    0.10394
              61         62      52      0.02626    0.06063
              62         63      53      0.06003    0.13858
              63         64      54      0.03002    0.06929
              64         65      55      0.02064    0.04764
              62         67      56      0.10881    0.25118
              67         68      57      0.25588    0.13460
              68         69      58      0.41699    0.21934
              69         70      59      0.50228    0.26421
              70         71      60      0.33170    0.17448
              71         72      61      0.20849    0.10967
              56         73      62      0.13882    0.32047
               0         75      63      0.00750    0.01732
              75         76      64      0.27014    0.62362
              76         77      65      0.38270    0.88346
              77         78      66      0.33018    0.76220
              78         80      67      0.32830    0.75787
              80         81      68      0.17072    0.39409
              81         82      69      0.55914    0.29412
              81         83      70      0.05816    0.13425
              83         84      71      0.70130    0.36890
              84         85      72      1.02352    0.53839
              83         86      73      0.06754    0.15591
              86         87      74      1.32352    0.45397
               0        121      75      0.01126    0.02598
             121        122      76      0.72976    1.68464
             122        123      77      0.22512    0.51968
             123        124      78      0.20824    0.48071
             124        125      79      0.04690    0.10827
             125        127      80      0.61950    0.61857
             127        128      81      0.34049    0.33998
             128        129      82      0.56862    0.29911
             128        130      83      0.10877    0.10860
             130        131      84      0.56862    0.29911
               0        133      85      0.01126    0.02598
             133        134      86      0.41835    0.96575
             134        135      87      0.10499    0.13641
             134        136      88      0.43898    1.01338
             136        137      89      0.07520    0.02579
             137        138      90      0.07692    0.17756
             138        139      91      0.33205    0.76653
             139        141      92      0.08442    0.19488
             141        142      93      0.13320    0.30748
             142        143      94      0.29320    0.29276
             143        144      95      0.21753    0.21721
             144        145      96      0.26482    0.26443
             142        146      97      0.10318    0.23819
             146        147      98      0.13507    0.31181
               0        148      99      0.00938    0.02165
             148        149     100      0.16884    0.38976
             149        150     101      0.11819    0.27283
             150        152     102      2.28608    0.78414
             150        153     103      0.45587    1.05236
             153        154     104      0.69600    1.60669
             154        155     105      0.45774    1.05669
             155        156     106      0.20298    0.26373
             156        157     107      0.21348    0.27737
             157        158     108      0.54967    0.28914
             158        159     109      0.54019    0.28415
             157        160     110      0.04550    0.05911
             160        162     111      0.47385    0.24926
             162        163     112      0.86241    0.45364
             163        164     113      0.56862    0.29911
             158        200     114      0.77711    0.40878
             200        201     115      1.08038    0.56830
             159        202     116      1.09933    0.57827
             202        203     117      0.47385    0.24926
             154        204     118      0.32267    0.74488
             204        205     119      0.14633    0.33779
             205        206     120      0.12382    0.28583
               0        207     121      0.01126    0.02598
             207        208     122      0.64910    1.49842
             208        209     123      0.04502    0.10394
             209        210     124      0.52640    0.18056
             209        211     125      0.02064    0.04764
             211        212     126      0.53071    0.27917
             211        214     127      0.09755    0.22520
             214        215     128      0.11819    0.27283
             214        217     129      0.13882    0.32047
             217        218     130      0.04315    0.09961
             218        219     131      0.09192    0.21220
             219        220     132      0.16134    0.37244
             220        221     133      0.37832    0.37775
             221        222     134      0.39724    0.39664
             222        223     135      0.29320    0.29276     
                                     
               7         86     136      0.13132    0.30315
              10         32	    137      0.26536    0.13958
              20        130	    138      0.14187	  0.14166
              46        223	    139      0.08512	  0.08499
              33         61	    140      0.04502	  0.10394
              59        145	    141      0.14187	  0.14166
              65        147	    142      0.14187	  0.14166
              73        206	    143      0.03940	  0.09094
              78        125	    144      0.12944	  0.29882
             125        219	    145      0.01688	  0.03898
             131        223	    146      0.33170	  0.17448  
             139        154	    147      0.14187	  0.14166  
             138        217	    148      0.07692	  0.17756  
             138        153	    149      0.07692	  0.17756  
             141        154	    150      0.07692	  0.17756  
             141        220	    151      0.07692	  0.17756  
             145        206     152      0.26482	  0.26443  
             160         56	    153      0.49696	  0.64567  
             212        122	    154      0.17059    0.08973  
             215        123	    155      0.05253    0.12126  
             223        147	    156      0.29320    0.29276 
          

