param Vnom := 10;
         55    122.0000    59.0000       0.0000
         56     13.0000     6.0000       0.0000
         57     77.0000    37.0000       0.0000
         58     50.0000    24.0000       0.0000
         59      0.1000     0.0000       0.0000
         60     60.0000    29.0000       0.0000
         61     71.0000    34.0000       0.0000
         62    122.0000    59.0000       0.0000
         63     77.0000    37.0000       0.0000
         64     95.0000    46.0000       0.0000
         65    121.0000    58.0000       0.0000
         66     77.0000    37.0000       0.0000
         67    103.0000    50.0000       0.0000
         68     52.0000    25.0000       0.0000
         69     57.0000    27.0000       0.0000
         70    171.0000    83.0000       0.0000
         71    121.0000    58.0000       0.0000
         72     39.0000    19.0000       0.0000
         73    119.0000    58.0000       0.0000
         74     49.0000    24.0000       0.0000
         75      0.1000     0.0000       0.0000
         76     50.0000    24.0000       0.0000
         77     44.0000    21.0000       0.0000
         78     82.0000    40.0000       0.0000
         79    132.0000    64.0000       0.0000
         80    194.0000    94.0000       0.0000
         81      0.1000     0.0000       0.0000
         82    122.0000    59.0000       0.0000
         83      3.0000     1.0000       0.0000
         84     52.0000    25.0000       0.0000
         85    103.0000    50.0000       0.0000
         86     21.0000    10.0000       0.0000
         87     21.0000    10.0000       0.0000
         88     21.0000    10.0000       0.0000
         89      5.0000     3.0000       0.0000
         90      0.1000     0.0000       0.0000
         91      0.1000     0.0000       0.0000
         92     21.0000    10.0000       0.0000
         93     18.0000     9.0000       0.0000
         94    122.0000    59.0000       0.0000
         95    116.0000    56.0000       0.0000
         96      7.0000     3.0000       0.0000
         97     64.0000    31.0000       0.0000
         98     49.0000    24.0000       0.0000
         99     16.0000     8.0000       0.0000
        100     77.0000    37.0000       0.0000
        101    119.0000    58.0000       0.0000
        102     71.0000    34.0000       0.0000
        103     77.0000    37.0000       0.0000
        104    194.0000    94.0000       0.0000
        105    122.0000    59.0000       0.0000
        106     55.0000    27.0000       0.0000
        107     38.0000    18.0000       0.0000
        108     22.0000    10.0000       0.0000
        109      0.1000     0.0000       0.0000
        110     77.0000    37.0000       0.0000
        111    122.0000    59.0000       0.0000
        112     38.0000    18.0000       0.0000
        113    122.0000    59.0000       0.0000
        114     27.0000    13.0000       0.0000
        115     64.0000    31.0000       0.0000
        116      0.1000     0.0000       0.0000
        117      0.1000     0.0000       0.0000
        118      0.1000     0.0000       0.0000
        119      0.1000     0.0000       0.0000
        120     79.0000    38.0000       0.0000
        121    247.0000   119.0000       0.0000
        122      0.1000     0.0000       0.0000
        123      0.1000     0.0000       0.0000
        124      0.1000     0.0000       0.0000
        125      0.1000     0.0000       0.0000
        126      0.1000     0.0000       0.0000
        127      0.1000     0.0000       0.0000
        128     77.0000    37.0000       0.0000
        129    122.0000    59.0000       0.0000
        130     62.0000    30.0000       0.0000
        131    105.0000    51.0000       0.0000
        132    122.0000    59.0000       0.0000
        133     77.0000    37.0000       0.0000
        134     77.0000    37.0000       0.0000
        135      0.1000     0.0000       0.0000
        136     85.0000    41.0000       0.0000
        137      8.0000     4.0000       0.0000
        138    122.0000    59.0000       0.0000
        139     35.0000    17.0000       0.0000
        140     55.0000    27.0000       0.0000
        141    153.0000    74.0000       0.0000
        142    316.0000   153.0000       0.0000
        143    105.0000    51.0000       0.0000
        144     20.0000    10.0000       0.0000
        145     95.0000    46.0000       0.0000
        146     38.0000    18.0000       0.0000
        147     83.0000    40.0000       0.0000
        148     50.0000    24.0000       0.0000
        149     77.0000    37.0000       0.0000
        150    122.0000    59.0000       0.0000
        151    102.0000    49.0000       0.0000
        152     60.0000    29.0000       0.0000
        153     77.0000    37.0000       0.0000
        154    194.0000    94.0000       0.0000
        155     56.0000    27.0000       0.0000
        156    122.0000    59.0000       0.0000
        157      0.1000     0.0000       0.0000
        158      3.0000     1.0000       0.0000
        159      1.0000     0.0000       0.0000
        160     52.0000    25.0000       0.0000
        161    194.0000    94.0000       0.0000
        162     10.0000     5.0000       0.0000
        163    128.0000    62.0000       0.0000
        164     16.0000     8.0000       0.0000
        165     37.0000    18.0000       0.0000
        166    154.0000    75.0000       0.0000
        167      0.1000     0.0000       0.0000
        168      0.1000     0.0000       0.0000
        169     78.0000    38.0000       0.0000
        170      0.1000     0.0000       0.0000
        171     27.0000    13.0000       0.0000
        172    103.0000    50.0000       0.0000
        173    122.0000    59.0000       0.0000
        174     72.0000    35.0000       0.0000
        175      0.1000     0.0000       0.0000
        176    122.0000    59.0000       0.0000
        177    194.0000    94.0000       0.0000
        178      0.1000     0.0000       0.0000
        179     77.0000    37.0000       0.0000
        180     82.0000    40.0000       0.0000
        181     53.0000    26.0000       0.0000
        182    122.0000    59.0000       0.0000
        183     64.0000    31.0000       0.0000
        184     86.0000    42.0000       0.0000
        185     82.0000    40.0000       0.0000
        186      0.1000     0.0000       0.0000
        187    167.0000    81.0000       0.0000
        188      0.1000     0.0000       0.0000
        189      0.1000     0.0000       0.0000
        190    131.0000    64.0000       0.0000
        191     21.0000    10.0000       0.0000
        192     21.0000    10.0000       0.0000
        193     21.0000    10.0000       0.0000
        194     21.0000    10.0000       0.0000
        195      0.1000     0.0000       0.0000
        196      0.1000     0.0000       0.0000
        197      0.1000     0.0000       0.0000
        198      0.1000     0.0000       0.0000
        199      0.1000     0.0000       0.0000
        200     52.0000    25.0000       0.0000
        201    202.0000    98.0000       0.0000
        202    202.0000    98.0000       0.0000
        203     73.0000    35.0000       0.0000
        204     81.0000    39.0000       0.0000
        205    115.0000    56.0000       0.0000
        206    118.0000    57.0000       0.0000
        207    318.0000   154.0000       0.0000
        208    161.0000    78.0000       0.0000
        209    126.0000    61.0000       0.0000
        210     59.0000    29.0000       0.0000
        211     24.0000    12.0000       0.0000
        212     24.0000    12.0000       0.0000
        213      5.0000     2.0000       0.0000
        214    126.0000    61.0000       0.0000
        215     56.0000    27.0000       0.0000
        216     62.0000    30.0000       0.0000
        217      0.1000     0.0000       0.0000
        218     32.0000    15.0000       0.0000
        219    158.0000    77.0000       0.0000
        220    126.0000    61.0000       0.0000
        221    202.0000    98.0000       0.0000
        222     41.0000    20.0000       0.0000
        223     81.0000    39.0000       0.0000
        224    126.0000    61.0000       0.0000
        225    202.0000    98.0000       0.0000
        226     18.0000     9.0000       0.0000
        227    202.0000    98.0000       0.0000
        228    106.0000    51.0000       0.0000
        229    175.0000    85.0000       0.0000
        230    174.0000    84.0000       0.0000
        231    113.0000    55.0000       0.0000
        232    202.0000    98.0000       0.0000
        233      0.1000     0.0000       0.0000
        234    202.0000    98.0000       0.0000
        235    403.0000   195.0000       0.0000
        236    202.0000    98.0000       0.0000
        237    126.0000    61.0000       0.0000
        238      0.1000     0.0000       0.0000
        239     29.0000    14.0000       0.0000
        240      9.0000     4.0000       0.0000
        241      5.0000     2.0000       0.0000
        242      0.1000     0.0000       0.0000
        243     18.0000     9.0000       0.0000
        244     45.0000    22.0000       0.0000
        245     32.0000    16.0000       0.0000
        246     61.0000    30.0000       0.0000
        247     81.0000    39.0000       0.0000
        248    126.0000    61.0000       0.0000
        249     23.0000    11.0000       0.0000
        250     14.0000     7.0000       0.0000
        251     18.0000     9.0000       0.0000
        252    126.0000    61.0000       0.0000
        253      5.0000     3.0000       0.0000
        254     26.0000    13.0000       0.0000
        255     18.0000     9.0000       0.0000
        256    126.0000    61.0000       0.0000
        257     81.0000    39.0000       0.0000
        258      0.1000     0.0000       0.0000
        259    126.0000    61.0000       0.0000
        260     41.0000    20.0000       0.0000
        261      0.1000     0.0000       0.0000
        262     28.0000    14.0000       0.0000
        263     30.0000    14.0000       0.0000
        264     81.0000    39.0000       0.0000
        265    202.0000    98.0000       0.0000
        266    318.0000   154.0000       0.0000
        267    176.0000    85.0000       0.0000
        268    126.0000    61.0000       0.0000
        269      6.0000     3.0000       0.0000
        270     31.0000    15.0000       0.0000
        271     60.0000    29.0000       0.0000
        272     56.0000    27.0000       0.0000
        273    126.0000    61.0000       0.0000
        274    118.0000    57.0000       0.0000
        275    126.0000    61.0000       0.0000
        276    202.0000    98.0000       0.0000
        277     10.0000     5.0000       0.0000
        278    126.0000    61.0000       0.0000
        279    202.0000    98.0000       0.0000
        280    318.0000   154.0000       0.0000
        281     82.0000    40.0000       0.0000
        282    126.0000    61.0000       0.0000
        283     22.0000    10.0000       0.0000
        284     13.0000     6.0000       0.0000
        285     71.0000    34.0000       0.0000
        286    101.0000    49.0000       0.0000
        287    113.0000    54.0000       0.0000
        288    126.0000    61.0000       0.0000
        289      0.1000     0.0000       0.0000
        290     34.0000    17.0000       0.0000
        291     83.0000    40.0000       0.0000
        292     59.0000    29.0000       0.0000
        293    126.0000    61.0000       0.0000
        294    145.0000    70.0000       0.0000
        295    202.0000    98.0000       0.0000
        296     50.0000    24.0000       0.0000
        297     41.0000    20.0000       0.0000
        298    202.0000    98.0000       0.0000
        299     77.0000    37.0000       0.0000
        300    161.0000    78.0000       0.0000
        301    477.0000   231.0000       0.0000
        302     68.0000    33.0000       0.0000
        303     14.0000     7.0000       0.0000
        304      4.0000     2.0000       0.0000
        305      0.1000     0.0000       0.0000
        306     66.0000    32.0000       0.0000
        307      0.1000     0.0000       0.0000
        308     60.0000    29.0000       0.0000
        309     95.0000    46.0000       0.0000
        310      0.1000     0.0000       0.0000
        311     19.0000     9.0000       0.0000
        312     67.0000    32.0000       0.0000
        313     18.0000     9.0000       0.0000
        314     33.0000    16.0000       0.0000
        315     21.0000    10.0000       0.0000
        316     33.0000    16.0000       0.0000
        317     42.0000    20.0000       0.0000
        318     52.0000    25.0000       0.0000
        319     43.0000    21.0000       0.0000
        320    126.0000    61.0000       0.0000
        321    107.0000    52.0000       0.0000
        322    202.0000    98.0000       0.0000
        323    126.0000    61.0000       0.0000
        324     24.0000    12.0000       0.0000
        325    101.0000    49.0000       0.0000
        326     81.0000    39.0000       0.0000
        327    155.0000    75.0000       0.0000
        328     23.0000    11.0000       0.0000
        329     31.0000    15.0000       0.0000
        330    126.0000    61.0000       0.0000
        331     13.0000     6.0000       0.0000
        332     56.0000    27.0000       0.0000
        333    120.0000    58.0000       0.0000
        334    126.0000    61.0000       0.0000
        335    403.0000   195.0000       0.0000
        336     81.0000    39.0000       0.0000
        337    177.0000    86.0000       0.0000
        338    151.0000    73.0000       0.0000
        339      9.0000     4.0000       0.0000
        340     29.0000    14.0000       0.0000
        341     14.0000     7.0000       0.0000
        342     23.0000    11.0000       0.0000
        343     45.0000    22.0000       0.0000
        344      0.1000     0.0000       0.0000
        345     36.0000    17.0000       0.0000
        346      5.0000     2.0000       0.0000
        347      9.0000     4.0000       0.0000
        348     80.0000    39.0000       0.0000
        349      0.1000     0.0000       0.0000
        350      0.1000     0.0000       0.0000
        351      0.1000     0.0000       0.0000
        352      0.1000     0.0000       0.0000
        353      0.1000     0.0000       0.0000
        354      0.1000     0.0000       0.0000
        355      0.1000     0.0000       0.0000
        356      0.1000     0.0000       0.0000
        357      0.1000     0.0000       0.0000
        358      0.1000     0.0000       0.0000
        359      0.1000     0.0000       0.0000
        360      0.1000     0.0000       0.0000
        361      0.1000     0.0000       0.0000
        362      0.1000     0.0000       0.0000
        363      0.1000     0.0000       0.0000
        364      0.1000     0.0000       0.0000
        365      0.1000     0.0000       0.0000
        366      0.1000     0.0000       0.0000
        367      0.1000     0.0000       0.0000
        368      0.1000     0.0000       0.0000
        369      0.1000     0.0000       0.0000
        370      0.1000     0.0000       0.0000
        371      0.1000     0.0000       0.0000
        372      0.1000     0.0000       0.0000
        373      0.1000     0.0000       0.0000
        374      0.1000     0.0000       0.0000
        375      0.1000     0.0000       0.0000
        376     86.0000    41.0000       0.0000
        377     86.0000    41.0000       0.0000
        378      0.1000     0.0000       0.0000
        379      0.1000     0.0000       0.0000
        380      0.1000     0.0000       0.0000
        381      0.1000     0.0000       0.0000
        382      0.1000     0.0000       0.0000
        383      0.1000     0.0000       0.0000
        384     68.0000    33.0000       0.0000
        385     15.0000     7.0000       0.0000
        386     56.0000    27.0000       0.0000
        387     12.0000     6.0000       0.0000
        388     50.0000    24.0000       0.0000
        389    115.0000    56.0000       0.0000
        390     14.0000     7.0000       0.0000
        391      5.0000     2.0000       0.0000
        392     19.0000     9.0000       0.0000
        393     34.0000    17.0000       0.0000
        394     10.0000     5.0000       0.0000
        395     40.0000    19.0000       0.0000
        396     28.0000    14.0000       0.0000
        397     14.0000     7.0000       0.0000
        398     17.0000     8.0000       0.0000
        399     41.0000    20.0000       0.0000
        400      0.1000     0.0000       0.0000
        401      0.1000     0.0000       0.0000
        402      0.1000     0.0000       0.0000
        403      0.1000     0.0000       0.0000
        404      0.1000     0.0000       0.0000
        405      0.1000     0.0000       0.0000
        406      0.1000     0.0000       0.0000
        407      0.1000     0.0000       0.0000
        408      0.1000     0.0000       0.0000
        409      0.1000     0.0000       0.0000
        410      0.1000     0.0000       0.0000
        411      0.1000     0.0000       0.0000
        412      0.1000     0.0000       0.0000
        413      0.1000     0.0000       0.0000
        414     19.0000     9.0000       0.0000
        415      0.0000     0.0000       0.0000
        416      0.0000     0.0000       0.0000
        417      0.0000     0.0000       0.0000

          Send        Recv      line        R                X
           0          415         1      0.000001       0.0000010
           0          416         2      0.000001       0.0000010
           0          417         3      0.000001       0.0000010
           88          66         4      0.107823	      0.0743400  
          224         223         5      0.069445	      0.0478800  
           20          71         6      0.193715	      0.1335600  
            2          19         7      0.610385	      0.4208400  
          223         221         8      0.069445	      0.0478800  
           71          73         9      0.021930	      0.0151200  
           69         381        10      0.031068	      0.0214200  
           19          50        11      0.087720	      0.0604800  
          221         220        12      0.087720	      0.0604800  
           75          71        13      0.054825	      0.0378000  
          381          65        14      0.032895	      0.0226800  
           50          51        15      0.069445	      0.0478800  
           58          69        16      0.053728	      0.0370440  
           51          55        17      0.116960	      0.0806400  
          416         272        18      0.014254	      0.0098280  
           80          75        19      0.052998	      0.0365400  
           67          84        20      0.029240	      0.0201600  
           55          26        21      0.095030	      0.0655200  
          416         273        22      0.115498	      0.0796320  
           73          74        23      0.105995	      0.0730800  
           67          92        24      0.084065	      0.0579600  
          273         274        25      0.083699	      0.0577080  
           71          72        26      0.098685	      0.0680400  
           59          57        27      0.010965	      0.0075600  
           30          39        28      0.105995	      0.0730800  
           72          79        29      0.073100	      0.0504000  
           64          70        30      0.071273	      0.0491400  
           39          46        31      0.091375	      0.0630000  
          274         275        32      0.115863	      0.0798840  
           72          76        33      0.076755	      0.0529200  
           68          64        34      0.031068	      0.0214200  
           50          53        35      0.054825	      0.0378000  
          275         263        36      0.115132	      0.0793800  
           76          77        37      0.051170	      0.0352800  
           58          68        38      0.021199	      0.0146160  
           53          23        39      0.073100	      0.0504000  
          262         263        40      0.068714	      0.0473760  
           78          82        41      0.241230	      0.1663200  
           62          60        42      0.109650	      0.0756000  
           23          28        43      0.095030	      0.0655200  
          261         262        44      0.063094	      0.0532660  
           81          79        45      0.073100	      0.0504000  
           70          62        46      0.022661	      0.0156240  
           28          33        47      0.115132	      0.0793800  
          260         261        48      0.037973	      0.0320580  
           77          78        49      0.021930	      0.0151200  
           82          89        50      0.120981	      0.0834120  
           57          61        51      0.129387	      0.0892080  
           46          20        52      0.084065	      0.0579600  
          256         258        53      0.068714	      0.0473760  
           76          58        54      0.387430	      0.2671200  
           63          66        55      0.044957	      0.0309960  
           19          43        56      0.014620	      0.0100800  
          371         238        57      0.026581	      0.0224410  
          122         417        58      0.013524	      0.0159530  
           66          67        59      0.086258	      0.0594720  
           43          24        60      0.127925	      0.0883000  
          263         264        61      0.072369	      0.0498960  
          119          93        62      0.253828	      0.2584550  
           61          63        63      0.060307	      0.0415800  
           24          34        64      0.127925	      0.0883000  
          368         346        65      0.131580	      0.0907200  
          119         122        66      0.294875	      0.3002500  
           57          19        67      0.592110	      0.4082400  
           34          37        68      0.080410	      0.0554400  
          113         114        69      0.047515	      0.0327600  
          417          91        70      0.388892	      0.2681280  
           37          40        71      0.104167	      0.0718200  
          369         347        72      0.118788	      0.0819000  
          114         111        73      0.040205	      0.0277200  
           91           1        74      0.341012	      0.2351160  
          382         250        75      0.010965	      0.0075600  
           93         112        76      0.032895	      0.0226800  
           91          86        77      0.012852	      0.0108500  
           42          47        78      0.080410	      0.0554400  
          382         369        79      0.018275	      0.0126000  
          112         113        80      0.076755	      0.0529200  
            1          16        81      0.087720	      0.0604800  
           47          49        82      0.073100	      0.0504000  
          207         276        83      0.067252	      0.0463680  
          105          94        84      0.084065	      0.0579600  
            5           6        85      0.040205	      0.0277200  
          276         277        86      0.032895	      0.0226800  
           83          32        87      0.042033	      0.0289800  
          276         278        88      0.048246	      0.0332640  
           93         110        89      0.065790	      0.0453600  
           17           4        90      0.122442	      0.0844200  
           27          35        91      0.091375	      0.0630000  
          278         279        92      0.034357	      0.0236880  
          110         105        93      0.065790	      0.0453600  
            4           5        94      0.049342	      0.0340200  
          118         120        95      0.010223	      0.0086310  
           16          17        96      0.116960	      0.0806400  
           48          44        97      0.043860	      0.0302400  
          280         234        98      0.049342	      0.0340200  
           93         118        99      0.056028	      0.0660910  
            1          13       100      0.016448	      0.0113400  
           54          22       101      0.076755	      0.0529200  
          280         281       102      0.053728	      0.0370440  
          117          83       103      0.040205	      0.0277200  
            7           8       104      0.095030	      0.0655200  
           22          27       105      0.069445	      0.0478800  
          118         121       106      0.051170	      0.0352800  
            8           2       107      0.014620	      0.0100800  
           32          54       108      0.043860	      0.0302400  
          234         235       109      0.042033	      0.0289800  
          121         117       110      0.201025	      0.1386000  
           15          18       111      0.157165	      0.1083600  
           20          49       112      0.036550	      0.0253000  
          207         235       113      0.076755	      0.0529200  
          103         104       114      0.049657	      0.0419220  
           18           7       115      0.021930	      0.0151200  
           31          43       116      0.255850	      0.1764000  
          231         348       117      0.075946	      0.0641160  
           83         103       118      0.073100	      0.0504000  
           13          15       119      0.098685	      0.0680400  
           36          31       120      0.105995	      0.0730800  
          348         206       121      0.032131	      0.0271260  
            1          12       122      0.032131	      0.0271260  
          379         228       123      0.041186	      0.0347710  
          108         107       124      0.049657	      0.0419220  
            3          11       125      0.067183	      0.0567180  
           45          41       126      0.025585	      0.0176400  
          228         227       127      0.063094	      0.0532660  
           83         108       128      0.047515	      0.0327600  
           11          14       129      0.105156	      0.0887760  
           45          49       130      0.036550	      0.0253000  
          231         230       131      0.096857	      0.0667800  
          109          83       132      0.043860	      0.0302400  
           14          10       133      0.132906	      0.1122030  
           20          48       134      0.135235	      0.0932400  
          231         292       135      0.074927	      0.0516600  
          102         109       136      0.076755	      0.0529200  
           12           3       137      0.045276	      0.0382230  
           10          85       138      0.035052	      0.0295920  
           48          38       139      0.087720	      0.0604800  
          220         343       140      0.029240	      0.0201600  
           83         106       141      0.065790	      0.0453600  
           85          90       142      0.095030	      0.0655200  
           52          21       143      0.040205	      0.0277200  
          303         305       144      0.069445	      0.0478800  
           96         115       145      0.043860	      0.0302400  
            9          10       146      0.046736	      0.0394560  
           29          25       147      0.054825	      0.0378000  
          377         376       148      0.111477	      0.0768600  
           25          52       149      0.100513	      0.0693000  
          303         377       150      0.058846	      0.0405720  
          100          95       151      0.105995	      0.0730800  
            9          87       152      0.109537	      0.0924750  
           21          32       153      0.043860	      0.0302400  
          308         306       154      0.098685	      0.0680400  
           99         100       155      0.058480	      0.0403200  
           20          56       156      0.215645	      0.1486800  
          101          99       157      0.054825	      0.0378000  
           98         101       158      0.051170	      0.0352800  
          186         166       159      0.084709	      0.0715140  
          313         317       160      0.072369	      0.0498960  
          137         193       161      0.012793	      0.0088200  
           95         116       162      0.078582	      0.0541800  
          166         174       163      0.090551	      0.0764460  
          300         304       164      0.043860	      0.0302400  
          154         150       165      0.069445	      0.0478800  
          116          96       166      0.040205	      0.0277200  
          174         180       167      0.084709	      0.0715140  
          309         314       168      0.061404	      0.0423360  
          125         123       169      0.029240	      0.0201600  
           97          93       170      0.040205	      0.0277200  
          415         350       171      0.226610	      0.1562400  
          115          97       172      0.062135	      0.0428400  
          179         176       173      0.054825	      0.0378000  
          128         345       174      0.261698	      0.1804320  
          415         349       175      0.226610	      0.1562400  
          168         161       176      0.076755	      0.0529200  
           89         369       177      0.157896	      0.1088640  
          349         202       178      0.023392	      0.0161280  
          152         140       179      0.073025	      0.0616500  
          161         182       180      0.084065	      0.0579600  
          350         378       181      0.023392	      0.0161280  
          146         141       182      0.105995	      0.0730800  
          182         181       183      0.032895	      0.0226800  
          202         203       184      0.051118	      0.0431550  
          141         135       185      0.080410	      0.0554400  
          383         242       186      0.227341	      0.1567440  
          203         204       187      0.062135	      0.0428400  
          131         152       188      0.087720	      0.0604800  
          180         177       189      0.058480	      0.0403200  
          202         205       190      0.103403	      0.0872960  
          135         131       191      0.149855	      0.1033200  
          170         162       192      0.064262	      0.0542520  
          351         413       193      0.070541	      0.0486360  
          378         379       194      0.103403	      0.0872960  
           56         148       195      0.069445	      0.0478800  
          162         183       196      0.075946	      0.0641160  
          413         384       197      0.072003	      0.0496440  
          205         206       198      0.059881	      0.0505530  
           56         124       199      0.091375	      0.0630000  
          159         128       200      0.227838	      0.1923480  
          413         400       201      0.072734	      0.0501480  
          416         374       202      0.010965	      0.0075600  
          126         123       203      0.029240	      0.0201600  
          128         140       204      0.032131	      0.0271260  
          400         385       205      0.059211	      0.0408240  
          207         208       206      0.038378	      0.0264600  
          127         126       207      0.270470	      0.1864800  
          130         156       208      0.036550	      0.0253000  
          400         401       209      0.070907	      0.0488880  
          208         209       210      0.116960	      0.0806400  
          129         130       211      0.054825	      0.0378000  
          401         386       212      0.056653	      0.0390600  
          208         210       213      0.055921	      0.0385560  
          199         118       214      0.076755	      0.0529200  
          140         129       215      0.046736	      0.0394560  
          401         402       216      0.059576	      0.0410760  
          210         416       217      0.056287	      0.0388080  
          199         200       218      0.007310	      0.0050400  
          156         132       219      0.113305	      0.0781200  
          402         387       220      0.083334	      0.0574560  
          374         201       221      0.149855	      0.1033200  
          157         199       222      0.021930	      0.0151200  
          132         139       223      0.105995	      0.0730800  
          402         403       224      0.068349	      0.0471240  
          123         157       225      0.102340	      0.0705600  
          367         344       226      0.115132	      0.0793800  
          372         351       227      0.104167	      0.0718200  
          198         191       228      0.014620	      0.0100800  
          128         153       229      0.035052	      0.0295920  
          344         345       230      0.058480	      0.0403200  
          351         211       231      0.113670	      0.0783720  
          198         196       232      0.069445	      0.0478800  
          136         143       233      0.095030	      0.0655200  
          344         368       234      0.052998	      0.0365400  
          351         352       235      0.213817	      0.1474200  
          158         198       236      0.270470	      0.1864800  
          143         147       237      0.095030	      0.0655200  
          399         403       238      0.047515	      0.0327600  
          352         212       239      0.201025	      0.1386000  
          196         190       240      0.010965	      0.0075600  
          153         155       241      0.032131	      0.0271260  
          403         404       242      0.040205	      0.0277200  
          352         213       243      0.050073	      0.0345240  
          158         189       244      0.235900	      0.2403000  
          155         136       245      0.084065	      0.0579600  
          404         388       246      0.058846	      0.0405720  
          415         214       247      0.347591	      0.2396520  
          158         160       248      0.084065	      0.0579600  
          404         405       249      0.071638	      0.0493920  
          214         215       250      0.105995	      0.0730800  
          160         171       251      0.087720	      0.0604800  
          149         147       252      0.021930	      0.0151200  
          405         389       253      0.045322	      0.0312480  
          215         216       254      0.099314	      0.0838440  
          171         187       255      0.091375	      0.0630000  
          133         138       256      0.119761	      0.1011060  
          405         390       257      0.073100	      0.0504000  
          215         217       258      0.065790	      0.0453600  
          187         167       259      0.091375	      0.0630000  
          138         142       260      0.062135	      0.0428400  
          403         406       261      0.083334	      0.0574560  
          217         218       262      0.002924	      0.0020160  
          153         133       263      0.078867	      0.0665820  
          406         391       264      0.078582	      0.0541800  
          218         219       265      0.080410	      0.0554400  
          167         175       266      0.113305	      0.0781200  
          406         407       267      0.048977	      0.0337680  
          219         222       268      0.070980	      0.0599240  
          160         184       269      0.131580	      0.0907200  
          128         150       270      0.032895	      0.0226800  
          407         408       271      0.066887	      0.0461160  
          222         236       272      0.081788	      0.0690480  
          184         163       273      0.091375	      0.0630000  
          144         145       274      0.032895	      0.0226800  
          408         392       275      0.073831	      0.0509040  
          236         237       276      0.062217	      0.0525260  
          163         164       277      0.032895	      0.0226800  
          408         393       278      0.069080	      0.0476280  
          236         371       279      0.053746	      0.0453740  
          164         172       280      0.138890	      0.0957600  
          151         134       281      0.076755	      0.0529200  
          407         409       282      0.055191	      0.0380520  
          238         239       283      0.005842	      0.0049320  
          134         144       284      0.142545	      0.0982800  
          409         414       285      0.065790	      0.0453600  
          238         242       286      0.083541	      0.0705280  
          178         159       287      0.069445	      0.0478800  
          134         194       288      0.009137	      0.0063000  
          409         410       289      0.064328	      0.0443520  
          242         354       290      0.005483	      0.0037800  
          158         181       291      0.054096	      0.0638120  
          150         151       292      0.054825	      0.0378000  
          410         394       293      0.059576	      0.0410760  
          354         353       294      0.127925	      0.0883000  
          181         185       295      0.048300	      0.0569750  
          417         189       296      0.141540	      0.1441200  
          410         411       297      0.067617	      0.0466200  
          353         241       298      0.018275	      0.0126000  
          185         165       299      0.037744	      0.0384320  
          189         188       300      0.073100	      0.0504000  
          411         398       301      0.056653	      0.0390600  
          353         240       302      0.073100	      0.0504000  
          165         169       303      0.037744	      0.0384320  
          188         197       304      0.109650	      0.0756000  
          411         397       305      0.071638	      0.0493920  
          242         355       306      0.009137	      0.0063000  
          169         173       307      0.029210	      0.0246600  
          197         195       308      0.036550	      0.0253000  
          411         412       309      0.087355	      0.0602280  
          355         356       310      0.051170	      0.0352800  
          173         179       311      0.063693	      0.0648540  
          188         192       312      0.023392	      0.0161280  
          412         396       313      0.070541	      0.0486360  
          356         243       314      0.012793	      0.0088200  
          158         183       315      0.226610	      0.1562400  
          412         395       316      0.069445	      0.0478800  
          356         244       317      0.005483	      0.0037800  
          183         186       318      0.035052	      0.0295920  
          137         154       319      0.105995	      0.0730800  
          242         245       320      0.036513	      0.0308250  
